,count,id,category,cat_percent
0,3016,22,People & Blogs,7.54
1,9763,24,Entertainment,24.42
2,3425,23,Comedy,8.57
3,2315,28,Science & Technology,5.79
4,2331,1,Film & Animation,5.83
5,2398,25,News & Politics,6.0
6,2113,17,Sports,5.29
7,6292,10,Music,15.74
8,909,15,Pets & Animals,2.27
9,1637,27,Education,4.09
10,4116,26,Howto & Style,10.3
11,359,2,Autos & Vehicles,0.9
12,402,19,Travel & Events,1.01
13,794,20,Gaming,1.99
14,52,29,Nonprofits & Activism,0.13
15,57,43,Shows,0.14
