likes,pred_likes
20371,34220
19,51
2586,2528
519,166556
1788960,1638122
24412,23090
9474,7946
3912,6696
2286,4938
7782,87969
111,7850
2412,4906
3124,7968
115781,100103
460,554
3869,20046
17267,15557
9725,11698
15071,83332
75930,35332
57838,53154
1581,238157
379,41976
20085,19849
102726,103517
37129,37114
28119,78460
386,44639
55628,64558
216119,94309
65594,46036
40775,96755
119107,123830
223821,273092
39816,67584
6729,13179
28309,41652
12594,17340
88541,113442
281095,441447
5666,6923
789750,173825
23207,21535
14355,18722
6593,2282
50946,53540
31301,31955
25840,37646
1326,1872
70960,77647
5474,68915
18816,31206
11492,14485
5155,5367
18022,25217
21013,22577
61484,58530
84669,96777
29135,30322
23939,14750
3849,15767
6133,12732
10814,11058
135815,146823
9821,15251
35950,37133
1389,150018
8184,18064
58902,143308
5172,8366
14353,16559
5340,26584
18708,19439
98182,101356
3657,2889
21523,23000
41976,40665
151277,160008
3871,3694
46900,48856
5188,5766
2750,3849
5023,5523
3539,37932
2001,2199
1026,2337
4468,5251
91834,78464
4208,4984
314,39264
1184,1311
28058,16201
38795,78498
365,454
111,145
4237,23872
33595,33059
8122,8154
30255,44906
174,1426
204,5705
10327,9575
86,88
370,19717
25373,25895
159600,150741
5189,5937
681,737
4287,3351
29299,29140
2738,6103
7464,13639
6282,18820
1693,1834
92831,88578
22111,26705
921,19948
21174,18012
142006,148348
1623,12109
7229,8291
12694,13136
5906,5523
37,519
1834,28235
1990,2191
4544,7151
11637,11384
204840,209679
5562,7284
12392,12931
197,173
10058,13468
10718,11418
16213,14927
18528,16860
14253,13652
206,872
175762,173611
1572,1760
5591,13843
4288,2488
10079,444195
2023,1932
8593,8143
16242,19278
2366,8584
149105,150674
1932,2186
28677,31797
28200,22219
17313,16347
5954,9120
146,120
21839,19563
2448,3715
3194,2434
280,246
8575,8263
18741,20224
1933,2098
6418,12899
5682,14273
9848,8907
1288,2235
58,838
7193,8659
430,813
5065,16295
410,556
92,1075
131,893
2742,3695
9519,9193
6408,6263
5190,9037
13909,12432
10118,14291
3578,6279
4603,4784
4447,4200
243,884
1941,3119
620,1559
39,89
230,39264
309,421
47602,43858
20,380
891282,834177
4,11196
438470,357796
831,135376
2908,2885
782,13804
292,13426
11,246
7,1896
4836,6077
38114,46232
10,6843
16805,16072
4782,5020
48,28519
447,47607
261,229
248909,253858
49509,53220
146732,131605
6466,6933
20,135376
7773,8869
2028,3362
8985,34811
60434,55749
129182,125826
86,4153
8665,16416
52519,44566
76529,35332
20780,34220
2609,2528
22,51
150015,46036
94545,96755
16081,12516
89055,135299
61135,67584
14742,17379
4168,5174
174944,123830
10779,13179
1641,13031
5896,10792
396790,549530
68813,95756
254158,273092
77456,159985
36813,41652
35094,42104
109421,113442
7018,39264
17558,17340
395289,441447
181,44639
17911,25061
6762,6923
