views,pred_views
549044,1163976
46545,193069
32347,24527
319797,283099
62620,227173
372775,337716
2567518,2630201
120697,171316
289923,275479
209442,441179
44320,93950
727427,861634
99999,180140
85742,76729
20529,1350849
237111,155398
104295,205423
409445,503970
365006,348845
174023,155166
37575,118268
248499,215336
327935,307358
59466,65128
403564,605621
264129,278057
36859,45576
133296,336165
297046,348716
28147,46242
46308,58424
33513,104822
102878,1350849
100120,53868
42472,50327
863232,759573
22702386,20848683
6904,56939
1338,1254473
58604,2929767
121979,126857
215222,241595
1826373,1673660
1118,452775
251684,1915605
6355501,5570946
381688,488835
6743,57308
687,747027
190543,194970
2083918,2007654
350422,389269
8088,342342
3839,1283778
2328148,2259746
10309,19115
15432746,16764041
92327,1410315
9036,3321454
216234,239224
5119,2929767
4435991,4139503
1249702,1158081
300601,370628
616371,1121836
3031863,2825171
10542,473895
3790933,3480528
1167646,1412336
849499,891798
2398093,1942557
7727696,7309697
383308,361662
5366,241226
272466,264200
58135,3412797
43449654,39379100
525210,497134
390261,301573
122772,128490
46260,74221
243412,2806058
465893,590415
59168,2773903
82713,150846
1233722,1033371
71089,153641
127404,1246077
339256,494847
226659,248299
241314,2553207
2624056,552928
1354030,1118227
45236,7241542
172587,667689
2122489,1914847
2291077,2296492
935744,945749
1262652,1068592
49915,1410315
505794,467211
3680540,1141765
1603415,2421749
2585193,8708364
4722974,3870056
6659676,9312656
804363,2193249
2336528,3889299
501670,843852
334497,573411
1164713,1726808
2935330,5605772
397983,447094
3483755,4634551
505886,751286
178977,359376
406769,167711
1117997,1410252
677167,716315
463992,885130
228846,354830
1276326,1482866
340348,1300079
1035804,1936980
270859,437290
218153,280410
177348,469833
655161,729673
2128788,2023439
1693011,2000165
816696,880868
1223069,790051
76491,164741
769769,1343031
1828753,1936311
1884763,2451095
284037,274019
1333817,1461221
39504,2608044
81947,270803
673010,2891465
88644,142929
420033,556973
326709,1638793
736829,806917
3300683,3461127
363095,320126
516456,593482
3495474,3239510
2167114,2330775
55460,68441
1716572,1869892
328417,361968
325333,546482
116732,133394
82048,2736116
59190,65944
