,count,id,category,cat_percent
0,1337,1,Film & Animation,4.18
1,4221,25,News & Politics,13.21
2,14728,24,Entertainment,46.09
3,3206,23,Comedy,10.03
4,3531,10,Music,11.05
5,1803,22,People & Blogs,5.64
6,6,19,Travel & Events,0.02
7,540,28,Science & Technology,1.69
8,1086,27,Education,3.4
9,42,43,Shows,0.13
10,700,26,Howto & Style,2.19
11,505,17,Sports,1.58
12,103,29,,0.32
13,63,2,Autos & Vehicles,0.2
14,3,15,Pets & Animals,0.01
15,65,20,Gaming,0.2
16,14,30,Movies,0.04
