,count,id,category,cat_percent
0,1918,26,Howto & Style,5.22
1,8872,24,Entertainment,24.13
2,12736,10,Music,34.64
3,1815,17,Sports,4.94
4,1141,25,News & Politics,3.1
5,2686,22,People & Blogs,7.31
6,1760,23,Comedy,4.79
7,516,15,Pets & Animals,1.4
8,457,27,Education,1.24
9,2434,1,Film & Animation,6.62
10,469,28,Science & Technology,1.28
11,1704,20,Gaming,4.63
12,107,2,Autos & Vehicles,0.29
13,96,19,Travel & Events,0.26
14,38,29,,0.1
15,20,43,Shows,0.05
