,count,id,category,cat_percent
0,6065,24,Entertainment,23.94
1,3437,23,Comedy,13.56
2,978,20,Gaming,3.86
3,2423,17,Sports,9.56
4,2925,22,People & Blogs,11.54
5,632,27,Education,2.49
6,2026,26,Howto & Style,8.0
7,718,28,Science & Technology,2.83
8,484,2,Autos & Vehicles,1.91
9,2199,25,News & Politics,8.68
10,1210,1,Film & Animation,4.78
11,1858,10,Music,7.33
12,90,19,Travel & Events,0.36
13,208,15,Pets & Animals,0.82
14,71,29,,0.28
15,10,30,Movies,0.04
16,3,43,Shows,0.01
17,2,44,Trailers,0.01
