,count,id,category,cat_percent
0,3399,10,Music,9.92
1,3064,23,Comedy,8.94
2,10863,24,Entertainment,31.69
3,3477,25,News & Politics,10.14
4,3185,22,People & Blogs,9.29
5,1861,26,Howto & Style,5.43
6,1611,1,Film & Animation,4.7
7,1003,28,Science & Technology,2.93
8,1269,20,Gaming,3.7
9,2501,17,Sports,7.3
10,60,29,,0.18
11,360,15,Pets & Animals,1.05
12,366,19,Travel & Events,1.07
13,337,2,Autos & Vehicles,0.98
14,895,27,Education,2.61
15,19,43,Shows,0.06
16,6,30,Movies,0.02
